Wall time,Step,Value
1691679153.776359,1556,172.0
1691679179.3745978,1559,173.0
1691679193.493516,1562,173.0
1691679273.7083187,1565,173.0
1691679288.0407035,1568,174.0
1691679314.472576,1571,174.0
1691679393.8947978,1574,174.0
1691679410.2749944,1577,175.0
1691679437.9574957,1580,175.0
1691679513.2195375,1583,175.0
1691679532.7707446,1586,176.0
1691679553.4331918,1589,176.0
1691679632.4191399,1592,176.0
1691679656.1718936,1595,177.0
1691679671.905836,1598,177.0
1691679752.9676278,1601,177.0
1691679771.6733344,1604,178.0
1691679791.4627059,1607,178.0
1691679872.4267864,1610,178.0
1691679891.3920622,1613,179.0
1691679914.6021543,1616,179.0
1691679986.798252,1619,179.0
1691680010.6050375,1622,180.0
1691680024.125062,1625,180.0
1691680099.3605294,1628,180.0
1691680118.5446713,1631,181.0
1691680137.7588673,1634,181.0
1691680213.5514743,1637,181.0
1691680231.7373877,1640,182.0
1691680250.922262,1643,182.0
1691680326.4894936,1646,182.0
1691680344.08188,1649,183.0
1691680363.0790854,1652,183.0
1691680440.4702022,1655,183.0
1691680458.62368,1658,184.0
1691680481.8610518,1661,184.0
1691680553.0148194,1664,184.0
1691680566.7999496,1667,185.0
1691680589.226986,1670,185.0
1691680666.9796128,1673,185.0
1691680680.549863,1676,186.0
1691680703.7940009,1679,186.0
1691680780.3698704,1682,186.0
1691680794.1652534,1685,187.0
1691680808.722211,1688,187.0
1691680892.5177743,1691,187.0
1691680907.9390762,1694,188.0
1691680935.3183894,1697,188.0
1691681005.4723926,1700,188.0
1691681028.8873677,1703,189.0
1691681045.8679419,1706,189.0
1691681119.249775,1709,189.0
1691681137.4209824,1712,190.0
1691681155.258577,1715,190.0
1691681232.608381,1718,190.0
1691681251.8390899,1721,191.0
1691681268.9714906,1724,191.0
1691681345.7749271,1727,191.0
1691681365.5730562,1730,192.0
1691681384.1628015,1733,192.0
1691681459.1359158,1736,192.0
1691681472.9351935,1739,193.0
1691681499.5229654,1742,193.0
1691681573.6305256,1745,193.0
1691681592.9093819,1748,194.0
1691681616.9002244,1751,194.0
1691681689.0716498,1754,194.0
1691681715.2346375,1757,195.0
1691681728.656811,1760,195.0
1691681804.2277467,1763,195.0
1691681828.463872,1766,196.0
1691681845.7018874,1769,196.0
1691681921.4135332,1772,196.0
1691681946.1479328,1775,197.0
1691681961.4528167,1778,197.0
1691682043.0782056,1781,197.0
1691682061.8777297,1784,198.0
1691682080.9262393,1787,198.0
1691682161.026467,1790,198.0
1691682181.532531,1793,199.0
1691682200.1824458,1796,199.0
1691682277.8874035,1799,199.0
1691682374.8833354,1800,200.0
